LHD,Period,Per cent,LL 95% CI,UL 95% CI
Sydney LHD,2002,48.1,44.4,51.8
Sydney LHD,2003,49.2,45.3,53
Sydney LHD,2004,50.9,46.6,55.3
Sydney LHD,2005,55.1,50.7,59.5
Sydney LHD,2006,52.7,47.7,57.8
Sydney LHD,2007,49.5,44.3,54.8
Sydney LHD,2008,55.7,50.5,60.9
Sydney LHD,2009,54.8,50.1,59.5
Sydney LHD,2010,53.9,48.3,59.5
Sydney LHD,2011,50.9,46.4,55.4
Sydney LHD,2012,58.5,53.7,63.3
Sydney LHD,2013,52.1,48,56.2
Sydney LHD,2014,55,50.6,59.4
Sydney LHD,2015,51.4,46.7,56
Sydney LHD,2016,46.3,41.9,50.8
Sydney LHD,2017,43.6,39.1,48
Sydney LHD,2018,39.4,34.8,44
Sydney LHD,2019,41.4,36.3,46.4
Sydney LHD,2020,40.9,35,46.9
Sydney LHD,2021,38.3,34.2,42.4
Sydney LHD,2022,36.9,33,40.8
Sydney LHD,2023,38.8,34.6,43.1
South Western Sydney LHD,2002,43.7,39.7,47.8
South Western Sydney LHD,2003,48.5,44.5,52.4
South Western Sydney LHD,2004,39.9,35.4,44.4
South Western Sydney LHD,2005,46.6,42.5,50.6
South Western Sydney LHD,2006,51.5,46.9,56.1
South Western Sydney LHD,2007,52.1,47.4,56.8
South Western Sydney LHD,2008,49.9,45.4,54.5
South Western Sydney LHD,2009,50.4,46.3,54.4
South Western Sydney LHD,2010,57.1,53,61.3
South Western Sydney LHD,2011,49.4,45,53.7
South Western Sydney LHD,2012,55.3,47.4,63.1
South Western Sydney LHD,2013,52.2,48.4,55.9
South Western Sydney LHD,2014,52.2,48.1,56.4
South Western Sydney LHD,2015,48,42.4,53.6
South Western Sydney LHD,2016,48.6,44.5,52.7
South Western Sydney LHD,2017,45.8,41.6,49.9
South Western Sydney LHD,2018,35.8,31.7,39.9
South Western Sydney LHD,2019,35.5,31,40.1
South Western Sydney LHD,2020,37.7,32.6,42.8
South Western Sydney LHD,2021,38.3,34.3,42.3
South Western Sydney LHD,2022,32.4,28.4,36.4
South Western Sydney LHD,2023,37.1,32.9,41.2
South Eastern Sydney LHD,2002,48.1,44,52.2
South Eastern Sydney LHD,2003,49.9,45.8,54.1
South Eastern Sydney LHD,2004,49.2,44,54.4
South Eastern Sydney LHD,2005,52.7,48.7,56.8
South Eastern Sydney LHD,2006,53.8,48.8,58.8
South Eastern Sydney LHD,2007,52.6,47.3,57.8
South Eastern Sydney LHD,2008,62,57.2,66.8
South Eastern Sydney LHD,2009,60.8,56,65.5
South Eastern Sydney LHD,2010,57.6,51.8,63.4
South Eastern Sydney LHD,2011,55.6,50.9,60.4
South Eastern Sydney LHD,2012,56.7,51.2,62.1
South Eastern Sydney LHD,2013,52.4,47.9,56.8
South Eastern Sydney LHD,2014,55.3,50.8,59.8
South Eastern Sydney LHD,2015,50.3,44.7,55.9
South Eastern Sydney LHD,2016,47.5,43.5,51.6
South Eastern Sydney LHD,2017,48.5,44.4,52.6
South Eastern Sydney LHD,2018,43.2,38.9,47.5
