Number of serves,Sex,Period,Per cent,LL 95% CI,UL 95% CI
No serves,Males,2023,8.1,7.1,9.2
No serves,Males,2022,8,7,9
No serves,Males,2021,7.5,6.5,8.5
No serves,Males,2020,7.4,6.2,8.7
No serves,Males,2019,9.2,7.9,10.5
No serves,Males,2018,7,6,8
No serves,Males,2017,7.4,6.3,8.4
No serves,Males,2016,6.6,5.6,7.6
No serves,Males,2015,4.8,4,5.6
No serves,Males,2014,7.2,6.1,8.3
No serves,Males,2013,7.2,6.2,8.3
No serves,Males,2012,7,5.8,8.1
No serves,Males,2011,6.2,5.1,7.4
No serves,Males,2010,7.3,6.2,8.4
No serves,Males,2009,8.1,7,9.2
No serves,Males,2008,8.7,7.5,9.9
No serves,Males,2007,9,7.7,10.3
No serves,Males,2006,9.5,8.2,10.8
No serves,Males,2005,7.6,6.6,8.6
No serves,Males,2004,9.7,8.4,11
No serves,Males,2003,8,7,8.9
No serves,Males,2002,8.5,7.5,9.5
No serves,Females,2023,5.1,4.3,6
No serves,Females,2022,5.4,4.5,6.2
No serves,Females,2021,4.6,3.9,5.4
No serves,Females,2020,5.3,4.1,6.4
No serves,Females,2019,5.2,4.2,6.2
No serves,Females,2018,5.1,4.3,6
No serves,Females,2017,5.3,4.5,6.2
No serves,Females,2016,4.7,3.9,5.5
No serves,Females,2015,3.9,3.2,4.5
No serves,Females,2014,5,4.2,5.8
No serves,Females,2013,3.6,3.1,4.2
No serves,Females,2012,6.4,5,7.9
No serves,Females,2011,5.1,4.3,6
No serves,Females,2010,5.7,4.9,6.6
No serves,Females,2009,5.6,4.9,6.4
No serves,Females,2008,5.8,5,6.7
No serves,Females,2007,5.7,4.9,6.6
No serves,Females,2006,6.4,5.5,7.3
No serves,Females,2005,5.3,4.6,6
No serves,Females,2004,6,5.1,6.8
No serves,Females,2003,5.1,4.5,5.8
No serves,Females,2002,5.8,5.1,6.5
No serves,Persons,2023,6.6,5.9,7.3
No serves,Persons,2022,6.7,6,7.3
No serves,Persons,2021,6.1,5.4,6.7
No serves,Persons,2020,6.3,5.5,7.2
No serves,Persons,2019,7.2,6.3,8
No serves,Persons,2018,6.1,5.4,6.7
No serves,Persons,2017,6.3,5.7,7
No serves,Persons,2016,5.6,5,6.3
No serves,Persons,2015,4.3,3.8,4.8
No serves,Persons,2014,6.1,5.4,6.7
No serves,Persons,2013,5.4,4.8,6
No serves,Persons,2012,6.7,5.8,7.6
No serves,Persons,2011,5.7,5,6.4
No serves,Persons,2010,6.5,5.8,7.2
No serves,Persons,2009,6.9,6.2,7.5
No serves,Persons,2008,7.2,6.5,8
No serves,Persons,2007,7.3,6.5,8.1
No serves,Persons,2006,7.9,7.1,8.7
No serves,Persons,2005,6.4,5.9,7
No serves,Persons,2004,7.8,7,8.6
No serves,Persons,2003,6.5,5.9,7.1
No serves,Persons,2002,7.1,6.5,7.7
Less than 1 serve,Males,2023,17,15.4,18.5
Less than 1 serve,Males,2022,14.7,13.3,16
Less than 1 serve,Males,2021,14.8,13.4,16.1
Less than 1 serve,Males,2020,13.1,11.4,14.7
Less than 1 serve,Males,2019,13.6,12.1,15.1
Less than 1 serve,Males,2018,14.1,12.6,15.5
Less than 1 serve,Males,2017,12.3,11,13.6
Less than 1 serve,Males,2016,14.1,12.7,15.6
Less than 1 serve,Males,2015,13.3,11.6,15
Less than 1 serve,Males,2014,11.9,10.5,13.2
Less than 1 serve,Males,2013,15,13.5,16.4
Less than 1 serve,Males,2012,13,11,14.9
Less than 1 serve,Males,2011,13.9,12.3,15.5
Less than 1 serve,Males,2010,12.4,10.9,14
Less than 1 serve,Males,2009,11.4,10.1,12.7
Less than 1 serve,Males,2008,12.7,11.2,14.2
Less than 1 serve,Males,2007,11.7,10.2,13.1
Less than 1 serve,Males,2006,14.9,13.3,16.5
Less than 1 serve,Males,2005,16.2,14.8,17.7
Less than 1 serve,Males,2004,18.1,16.4,19.7
Less than 1 serve,Males,2003,20,18.6,21.4
Less than 1 serve,Males,2002,18.3,16.9,19.7
Less than 1 serve,Females,2023,12.5,11.2,13.9
Less than 1 serve,Females,2022,10.3,9.2,11.4
Less than 1 serve,Females,2021,9,7.9,10.1
Less than 1 serve,Females,2020,9.9,8.3,11.5
Less than 1 serve,Females,2019,10.6,9.2,12
Less than 1 serve,Females,2018,8.7,7.6,9.8
Less than 1 serve,Females,2017,7.2,6.3,8.2
Less than 1 serve,Females,2016,9.1,7.9,10.2
Less than 1 serve,Females,2015,10.1,8.2,11.9
Less than 1 serve,Females,2014,9,7.8,10.1
Less than 1 serve,Females,2013,9.5,8.5,10.6
Less than 1 serve,Females,2012,8.8,7.5,10.2
Less than 1 serve,Females,2011,9.5,8.5,10.5
Less than 1 serve,Females,2010,7.9,7,8.8
Less than 1 serve,Females,2009,7.9,6.9,8.8
Less than 1 serve,Females,2008,8.6,7.6,9.7
Less than 1 serve,Females,2007,8.4,7.4,9.5
Less than 1 serve,Females,2006,9.1,8,10.2
Less than 1 serve,Females,2005,10.2,9.2,11.1
Less than 1 serve,Females,2004,11.5,10.4,12.7
Less than 1 serve,Females,2003,12.1,11.1,13.1
Less than 1 serve,Females,2002,13.6,12.5,14.6
Less than 1 serve,Persons,2023,14.7,13.7,15.7
Less than 1 serve,Persons,2022,12.5,11.6,13.3
Less than 1 serve,Persons,2021,11.8,11,12.7
Less than 1 serve,Persons,2020,11.5,10.3,12.6
Less than 1 serve,Persons,2019,12.1,11,13.1
Less than 1 serve,Persons,2018,11.3,10.4,12.2
Less than 1 serve,Persons,2017,9.7,8.9,10.5
Less than 1 serve,Persons,2016,11.6,10.6,12.5
Less than 1 serve,Persons,2015,11.7,10.4,12.9
Less than 1 serve,Persons,2014,10.4,9.5,11.3
Less than 1 serve,Persons,2013,12.2,11.3,13.1
Less than 1 serve,Persons,2012,10.9,9.7,12.1
Less than 1 serve,Persons,2011,11.7,10.7,12.6
Less than 1 serve,Persons,2010,10.1,9.2,11
Less than 1 serve,Persons,2009,9.6,8.8,10.4
Less than 1 serve,Persons,2008,10.6,9.7,11.5
Less than 1 serve,Persons,2007,10,9.1,10.9
Less than 1 serve,Persons,2006,11.9,11,12.9
Less than 1 serve,Persons,2005,13.2,12.3,14
Less than 1 serve,Persons,2004,14.8,13.8,15.7
Less than 1 serve,Persons,2003,16,15.1,16.8
Less than 1 serve,Persons,2002,15.9,15,16.8
1 serve,Males,2023,39.7,37.7,41.6
1 serve,Males,2022,42.9,40.9,44.8
1 serve,Males,2021,40.2,38.3,42.1
1 serve,Males,2020,41.6,39.2,44
1 serve,Males,2019,39.7,37.5,41.9
1 serve,Males,2018,40.9,38.9,42.9
1 serve,Males,2017,37.9,35.9,39.8
1 serve,Males,2016,35.7,33.7,37.6
1 serve,Males,2015,37.8,34.8,40.8
1 serve,Males,2014,30.7,28.8,32.7
1 serve,Males,2013,30.5,28.7,32.3
1 serve,Males,2012,28.8,26.3,31.3
1 serve,Males,2011,35.4,33.1,37.7
1 serve,Males,2010,27.6,25.6,29.7
1 serve,Males,2009,28.3,26.4,30.1
1 serve,Males,2008,28.3,26.3,30.3
1 serve,Males,2007,31.1,28.8,33.4
1 serve,Males,2006,28.6,26.6,30.6
1 serve,Males,2005,31.7,29.9,33.4
1 serve,Males,2004,32.4,30.4,34.3
1 serve,Males,2003,32.5,30.8,34.2
1 serve,Males,2002,32.9,31.1,34.6
1 serve,Females,2023,42,40.1,43.9
1 serve,Females,2022,43.6,41.7,45.5
1 serve,Females,2021,42.7,40.7,44.7
1 serve,Females,2020,42.2,39.8,44.6
1 serve,Females,2019,40.7,38.6,42.9
1 serve,Females,2018,42.4,40.5,44.3
1 serve,Females,2017,37.2,35.3,39
1 serve,Females,2016,35.3,33.4,37.1
1 serve,Females,2015,33.5,31.2,35.7
1 serve,Females,2014,28.6,26.9,30.2
1 serve,Females,2013,30.6,29.1,32.2
1 serve,Females,2012,29.3,27,31.6
1 serve,Females,2011,29.3,27.7,30.9
1 serve,Females,2010,27.7,26,29.3
1 serve,Females,2009,26,24.6,27.5
1 serve,Females,2008,24.9,23.3,26.4
1 serve,Females,2007,26.9,25.3,28.5
1 serve,Females,2006,25.4,23.8,27
1 serve,Females,2005,26.8,25.5,28.2
1 serve,Females,2004,29.6,28,31.2
