LHD,Period,Per cent,LL 95% CI,UL 95% CI
Sydney LHD,2002,7.8,5.9,9.7
Sydney LHD,2003,6.6,4.9,8.4
Sydney LHD,2004,6.2,4.2,8.2
Sydney LHD,2005,6.7,4.6,8.7
Sydney LHD,2006,6.8,4.4,9.2
Sydney LHD,2007,5.9,3.7,8.2
Sydney LHD,2008,6.9,4.5,9.4
Sydney LHD,2009,8.5,5.7,11.3
Sydney LHD,2010,6.1,3.9,8.2
Sydney LHD,2011,4.2,2.8,5.6
Sydney LHD,2012,6.6,4.3,8.9
Sydney LHD,2013,7.8,5.5,10
Sydney LHD,2014,6.8,4.9,8.8
Sydney LHD,2015,6.2,3.5,8.9
Sydney LHD,2016,8.4,5.8,11
Sydney LHD,2017,6,3.7,8.4
Sydney LHD,2018,6.2,3.8,8.6
Sydney LHD,2019,7.3,4.8,9.9
Sydney LHD,2020,6.7,3.9,9.6
Sydney LHD,2021,4.3,2.7,5.8
Sydney LHD,2022,5.2,3.5,6.9
Sydney LHD,2023,6.9,4.8,8.9
South Western Sydney LHD,2002,4.5,3,6
South Western Sydney LHD,2003,7.5,5.5,9.4
South Western Sydney LHD,2004,6.4,4.3,8.6
South Western Sydney LHD,2005,4.7,3.1,6.4
South Western Sydney LHD,2006,5.3,3.5,7.2
South Western Sydney LHD,2007,6.8,4.7,8.9
South Western Sydney LHD,2008,5.7,3.8,7.5
South Western Sydney LHD,2009,4.5,3.2,5.8
South Western Sydney LHD,2010,6.5,4.7,8.3
South Western Sydney LHD,2011,3.9,2.7,5.1
South Western Sydney LHD,2012,4.5,3.1,5.9
South Western Sydney LHD,2013,5,3.3,6.7
South Western Sydney LHD,2014,6.2,4,8.4
South Western Sydney LHD,2015,3.7,2.3,5.1
South Western Sydney LHD,2016,5.4,3.6,7.3
South Western Sydney LHD,2017,6.1,3.9,8.3
South Western Sydney LHD,2018,2.8,1.6,4.1
South Western Sydney LHD,2019,3.7,1.7,5.7
South Western Sydney LHD,2020,2.2,1,3.3
South Western Sydney LHD,2021,4.8,2.8,6.8
South Western Sydney LHD,2022,2.9,1.6,4.2
South Western Sydney LHD,2023,4.2,2.4,6
South Eastern Sydney LHD,2002,8,6,10.1
South Eastern Sydney LHD,2003,8.2,6,10.5
South Eastern Sydney LHD,2004,7.4,4.9,9.9
South Eastern Sydney LHD,2005,4.7,3.2,6.2
South Eastern Sydney LHD,2006,7.5,5.4,9.7
South Eastern Sydney LHD,2007,11.3,8,14.5
South Eastern Sydney LHD,2008,9.3,6.7,11.9
South Eastern Sydney LHD,2009,5.6,3.8,7.3
South Eastern Sydney LHD,2010,5.5,3.4,7.6
South Eastern Sydney LHD,2011,5.8,3.7,7.8
South Eastern Sydney LHD,2012,7.6,3.9,11.3
South Eastern Sydney LHD,2013,6.6,4.7,8.5
South Eastern Sydney LHD,2014,5.3,3.2,7.3
South Eastern Sydney LHD,2015,5.6,3.4,7.9
South Eastern Sydney LHD,2016,6.2,4.4,8
South Eastern Sydney LHD,2017,6,4.1,8
South Eastern Sydney LHD,2018,8,5.3,10.6
South Eastern Sydney LHD,2019,6.1,3.6,8.6
South Eastern Sydney LHD,2020,5.7,3.6,7.8
South Eastern Sydney LHD,2021,7.4,5,9.9
South Eastern Sydney LHD,2022,5.7,3.8,7.7
South Eastern Sydney LHD,2023,4.9,2.7,7.1
Illawarra Shoalhaven LHD,2002,7.2,5.2,9.1
Illawarra Shoalhaven LHD,2003,11.1,8.7,13.5
Illawarra Shoalhaven LHD,2004,6.9,4.8,9.1
Illawarra Shoalhaven LHD,2005,7.7,5.1,10.2
Illawarra Shoalhaven LHD,2006,11.6,7.1,16.1
Illawarra Shoalhaven LHD,2007,9.7,6.4,13
Illawarra Shoalhaven LHD,2008,9.8,6.7,13
Illawarra Shoalhaven LHD,2009,9.2,6.7,11.7
Illawarra Shoalhaven LHD,2010,8.9,6.1,11.7
Illawarra Shoalhaven LHD,2011,6.8,5,8.6
Illawarra Shoalhaven LHD,2012,10.4,6.4,14.3
Illawarra Shoalhaven LHD,2013,10.6,7.9,13.3
Illawarra Shoalhaven LHD,2014,8.5,5.7,11.4
Illawarra Shoalhaven LHD,2015,8.9,5.1,12.8
Illawarra Shoalhaven LHD,2016,5.2,3.3,7
Illawarra Shoalhaven LHD,2017,8.1,5.4,10.9
Illawarra Shoalhaven LHD,2018,8.1,4.7,11.4
Illawarra Shoalhaven LHD,2019,9.3,5.4,13.1
Illawarra Shoalhaven LHD,2020,3.5,1.8,5.2
Illawarra Shoalhaven LHD,2021,5.1,3.3,6.9
Illawarra Shoalhaven LHD,2022,4.9,3.2,6.6
Illawarra Shoalhaven LHD,2023,7.1,4.5,9.6
Western Sydney LHD,2002,3.7,2.3,5
Western Sydney LHD,2003,6.3,4.4,8.1
Western Sydney LHD,2004,5.2,3.3,7.1
Western Sydney LHD,2005,5,3.6,6.4
Western Sydney LHD,2006,6,3.9,8.1
Western Sydney LHD,2007,6,3.9,8
Western Sydney LHD,2008,5,3.3,6.7
Western Sydney LHD,2009,7.6,5.5,9.7
Western Sydney LHD,2010,4.6,3.1,6
Western Sydney LHD,2011,6.1,4.1,8.2
Western Sydney LHD,2012,8.2,3.8,12.6
Western Sydney LHD,2013,5.5,4,7.1
Western Sydney LHD,2014,5.4,3.9,6.9
Western Sydney LHD,2015,3.4,1.9,5
Western Sydney LHD,2016,4.3,2.6,6.1
Western Sydney LHD,2017,2.4,1.3,3.4
Western Sydney LHD,2018,3.7,2.1,5.4
Western Sydney LHD,2019,4.7,2.3,7.1
Western Sydney LHD,2020,4.2,2.4,6.1
Western Sydney LHD,2021,2,1,3
Western Sydney LHD,2022,2.7,1.1,4.3
Western Sydney LHD,2023,2,0.9,3.1
Nepean Blue Mountains LHD,2002,5.8,4.1,7.6
