Number of serves,Sex,Period,Per cent,LL 95% CI,UL 95% CI
No serves,Males,2023,1.6,1.1,2.1
No serves,Males,2022,1.8,1.3,2.3
No serves,Males,2021,1.7,1.2,2.1
No serves,Males,2020,0.9,0.5,1.3
No serves,Males,2019,1,0.6,1.4
No serves,Males,2018,1.2,0.8,1.7
No serves,Males,2017,1.7,1.2,2.3
No serves,Males,2016,1.5,1,2.1
No serves,Males,2015,1.2,0.8,1.6
No serves,Males,2014,1.8,1.2,2.4
No serves,Males,2013,1.6,1,2.1
No serves,Males,2012,1.5,1,1.9
No serves,Males,2011,1.2,0.6,1.7
No serves,Males,2010,1.1,0.6,1.6
No serves,Males,2009,2.3,1.6,2.9
No serves,Males,2008,1.4,0.9,2
No serves,Males,2007,1.3,0.8,1.8
No serves,Males,2006,1.5,0.9,2
No serves,Males,2005,1.4,1,1.9
No serves,Males,2004,1.2,0.6,1.9
No serves,Males,2003,1.4,1,1.9
No serves,Males,2002,1.1,0.7,1.5
No serves,Females,2023,0.9,0.5,1.2
No serves,Females,2022,1.5,1,2.1
No serves,Females,2021,0.9,0.6,1.3
No serves,Females,2020,0.5,0.3,0.8
No serves,Females,2019,1,0.5,1.5
No serves,Females,2018,1.1,0.7,1.4
No serves,Females,2017,1.2,0.8,1.6
No serves,Females,2016,0.9,0.6,1.3
No serves,Females,2015,0.8,0.3,1.3
No serves,Females,2014,1.2,0.8,1.6
No serves,Females,2013,1,0.7,1.4
No serves,Females,2012,0.8,0.5,1.1
No serves,Females,2011,0.5,0.3,0.7
No serves,Females,2010,0.9,0.5,1.2
No serves,Females,2009,1.5,1.1,1.9
No serves,Females,2008,0.9,0.5,1.2
No serves,Females,2007,1.1,0.7,1.5
No serves,Females,2006,0.9,0.5,1.3
No serves,Females,2005,0.9,0.6,1.3
No serves,Females,2004,0.8,0.5,1.1
No serves,Females,2003,0.7,0.4,1
No serves,Females,2002,1,0.7,1.3
No serves,Persons,2023,1.2,0.9,1.5
