LHD,Period,Per cent,LL 95% CI,UL 95% CI
Sydney LHD,2002,26,22.7,29.4
Sydney LHD,2003,20.3,17.1,23.4
Sydney LHD,2004,25.6,21.7,29.5
Sydney LHD,2005,20.7,17,24.4
Sydney LHD,2006,18,14.1,21.9
Sydney LHD,2007,21.6,17.2,26.1
Sydney LHD,2008,17.7,13.5,21.8
Sydney LHD,2009,21.1,17.1,25.1
Sydney LHD,2010,16.8,12.3,21.3
Sydney LHD,2011,14.5,11.1,17.9
Sydney LHD,2012,14.4,11.4,17.3
Sydney LHD,2013,14.6,11.7,17.4
Sydney LHD,2014,16.2,13,19.4
Sydney LHD,2015,12.2,8.9,15.6
Sydney LHD,2016,15.7,12.3,19.1
Sydney LHD,2017,12.7,9.8,15.7
Sydney LHD,2018,13.2,9.9,16.4
Sydney LHD,2019,13.5,9.9,17.2
Sydney LHD,2020,11.7,7.8,15.5
Sydney LHD,2021,10.4,8,12.7
Sydney LHD,2022,8.8,6.7,10.9
Sydney LHD,2023,7.9,5.7,10.2
South Western Sydney LHD,2002,22.3,18.8,25.7
South Western Sydney LHD,2003,27.4,23.7,31.1
South Western Sydney LHD,2004,25.7,21.5,29.9
South Western Sydney LHD,2005,21.5,18,25
South Western Sydney LHD,2006,19.6,15.9,23.4
South Western Sydney LHD,2007,27,22.8,31.2
South Western Sydney LHD,2008,24.8,20.8,28.8
South Western Sydney LHD,2009,18.7,15.5,22
South Western Sydney LHD,2010,20.6,17,24.2
South Western Sydney LHD,2011,18.2,14.6,21.7
South Western Sydney LHD,2012,17,12.6,21.3
South Western Sydney LHD,2013,18.8,15.8,21.8
South Western Sydney LHD,2014,20.7,17.2,24.1
South Western Sydney LHD,2015,14.2,11.2,17.3
South Western Sydney LHD,2016,15.6,12.6,18.6
South Western Sydney LHD,2017,20.4,16.9,23.8
South Western Sydney LHD,2018,21.4,17.6,25.2
South Western Sydney LHD,2019,19.5,15.6,23.4
South Western Sydney LHD,2020,15.4,11.3,19.6
South Western Sydney LHD,2021,14.5,11.6,17.4
