Electronic cigarette use,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Ever used,Sydney LHD,2014-2015,8,6.4,9.7
Ever used,Sydney LHD,2015-2016,7.8,6.1,9.4
Ever used,Sydney LHD,2016-2017,9.2,7.3,11
Ever used,Sydney LHD,2017-2018,10,7.9,12
Ever used,Sydney LHD,2018-2019,10.6,8.2,12.9
Ever used,Sydney LHD,2019-2020,10.3,7.6,13
Ever used,Sydney LHD,2020-2021,14.7,12.1,17.3
Ever used,Sydney LHD,2021-2022,20.5,18.2,22.9
Ever used,Sydney LHD,2022-2023,21.9,19.4,24.4
Ever used,South Western Sydney LHD,2014-2015,10,8,11.9
Ever used,South Western Sydney LHD,2015-2016,8.6,6.9,10.3
Ever used,South Western Sydney LHD,2016-2017,8,6.3,9.7
Ever used,South Western Sydney LHD,2017-2018,9.2,7.3,11.1
Ever used,South Western Sydney LHD,2018-2019,10.4,8.3,12.5
Ever used,South Western Sydney LHD,2019-2020,8.5,6.5,10.5
Ever used,South Western Sydney LHD,2020-2021,11.7,9.6,13.8
Ever used,South Western Sydney LHD,2021-2022,18.1,15.7,20.5
Ever used,South Western Sydney LHD,2022-2023,21.3,18.8,23.8
Ever used,South Eastern Sydney LHD,2014-2015,7.2,5.6,8.8
Ever used,South Eastern Sydney LHD,2015-2016,6.6,5.2,8.1
Ever used,South Eastern Sydney LHD,2016-2017,7.6,6,9.1
Ever used,South Eastern Sydney LHD,2017-2018,8.5,6.7,10.3
Ever used,South Eastern Sydney LHD,2018-2019,10,7.9,12
Ever used,South Eastern Sydney LHD,2019-2020,11.9,9.6,14.2
Ever used,South Eastern Sydney LHD,2020-2021,15.1,12.7,17.5
Ever used,South Eastern Sydney LHD,2021-2022,20,17.5,22.6
Ever used,South Eastern Sydney LHD,2022-2023,22.4,19.8,25
Ever used,Illawarra Shoalhaven LHD,2014-2015,8.1,5.7,10.4
Ever used,Illawarra Shoalhaven LHD,2015-2016,9.4,7,11.8
Ever used,Illawarra Shoalhaven LHD,2016-2017,9,6.6,11.4
Ever used,Illawarra Shoalhaven LHD,2017-2018,7.2,4.8,9.7
Ever used,Illawarra Shoalhaven LHD,2018-2019,8.5,5.7,11.4
Ever used,Illawarra Shoalhaven LHD,2019-2020,8.3,5.3,11.3
Ever used,Illawarra Shoalhaven LHD,2020-2021,9.9,7.3,12.6
Ever used,Illawarra Shoalhaven LHD,2021-2022,15.9,13.3,18.6
