Country of birth,Sex,Period,Per cent,LL 95% CI,UL 95% CI
Australia,Males,2002,47.2,45.1,49.2
Australia,Males,2003,49.5,47.5,51.5
Australia,Males,2004,42.8,40.4,45.1
Australia,Males,2005,41.1,39,43.2
Australia,Males,2006,38.2,35.7,40.7
Australia,Males,2007,36,33,39
Australia,Males,2008,38.6,36.1,41.1
Australia,Males,2009,37.7,35.4,40.1
Australia,Males,2010,40,37.4,42.6
Australia,Males,2011,37.4,34.8,40
Australia,Males,2012,38.2,35,41.4
Australia,Males,2013,41.2,38.8,43.6
Australia,Males,2014,38,35.4,40.5
Australia,Males,2015,38,34.8,41.2
Australia,Males,2016,37.3,34.9,39.8
Australia,Males,2017,37.1,34.7,39.5
Australia,Males,2018,35.8,33.4,38.2
Australia,Males,2019,34.6,32,37.2
Australia,Males,2020,31.6,28.7,34.5
Australia,Males,2021,32.5,30.2,34.7
Australia,Males,2022,33.4,31.1,35.7
Australia,Males,2023,30.7,28.4,33
Australia,Females,2002,56.9,55.2,58.6
Australia,Females,2003,58.9,57.3,60.5
Australia,Females,2004,51.4,49.5,53.4
Australia,Females,2005,51.6,49.9,53.3
Australia,Females,2006,48.8,46.7,50.9
Australia,Females,2007,51.3,48.7,53.8
Australia,Females,2008,49.7,47.7,51.8
Australia,Females,2009,48.3,46.4,50.2
Australia,Females,2010,47.2,45.1,49.2
Australia,Females,2011,50.6,48.5,52.7
Australia,Females,2012,49.7,46.8,52.5
Australia,Females,2013,48.7,46.6,50.7
Australia,Females,2014,47.9,45.7,50.1
Australia,Females,2015,45.4,42.5,48.3
Australia,Females,2016,45.7,43.3,48
Australia,Females,2017,44.6,42.3,46.9
Australia,Females,2018,42.7,40.4,45
Australia,Females,2019,39.5,36.9,42.1
Australia,Females,2020,40.6,37.7,43.5
Australia,Females,2021,39.7,37.1,42.3
Australia,Females,2022,43.2,40.9,45.5
Australia,Females,2023,37.8,35.5,40
Australia,Persons,2002,52.2,50.8,53.5
Australia,Persons,2003,54.3,53,55.6
Australia,Persons,2004,47.2,45.6,48.7
Australia,Persons,2005,46.5,45.2,47.9
Australia,Persons,2006,43.7,42,45.3
Australia,Persons,2007,43.8,41.8,45.8
Australia,Persons,2008,44.3,42.7,45.9
Australia,Persons,2009,43.1,41.6,44.7
Australia,Persons,2010,43.8,42.2,45.5
Australia,Persons,2011,44.2,42.5,45.9
Australia,Persons,2012,44.3,42.1,46.4
Australia,Persons,2013,45.1,43.5,46.7
Australia,Persons,2014,43.1,41.4,44.8
Australia,Persons,2015,41.8,39.6,43.9
Australia,Persons,2016,41.6,39.9,43.3
Australia,Persons,2017,41,39.3,42.6
Australia,Persons,2018,39.3,37.7,41
Australia,Persons,2019,37.1,35.3,39
Australia,Persons,2020,36.3,34.3,38.4
Australia,Persons,2021,36.3,34.6,38.1
Australia,Persons,2022,38.4,36.8,40.1
Australia,Persons,2023,34.3,32.7,36
English speaking countries,Males,2002,50.1,44.7,55.6
English speaking countries,Males,2003,46.7,41.2,52.1
English speaking countries,Males,2004,39.7,32.9,46.5
