Activity level,Sex,Period,Per cent,LL 95% CI,UL 95% CI
Inactive (0 minutes of moderate activity),Males,2002,13.2,12.1,14.4
Inactive (0 minutes of moderate activity),Males,2003,14,12.8,15.1
Inactive (0 minutes of moderate activity),Males,2004,11,9.8,12.2
Inactive (0 minutes of moderate activity),Males,2005,11.2,10.1,12.2
Inactive (0 minutes of moderate activity),Males,2006,10.5,9.2,11.7
Inactive (0 minutes of moderate activity),Males,2007,9.3,7.8,10.7
Inactive (0 minutes of moderate activity),Males,2008,9.5,8.3,10.7
Inactive (0 minutes of moderate activity),Males,2009,8.3,7.3,9.3
Inactive (0 minutes of moderate activity),Males,2010,10,8.7,11.3
Inactive (0 minutes of moderate activity),Males,2011,9,7.8,10.2
Inactive (0 minutes of moderate activity),Males,2012,10.9,8.7,13
Inactive (0 minutes of moderate activity),Males,2013,10.2,9,11.3
Inactive (0 minutes of moderate activity),Males,2014,7.1,6.1,8
Inactive (0 minutes of moderate activity),Males,2015,9.3,7.9,10.8
Inactive (0 minutes of moderate activity),Males,2016,9.1,8,10.2
Inactive (0 minutes of moderate activity),Males,2017,7.9,6.8,8.9
Inactive (0 minutes of moderate activity),Males,2018,7.3,6.3,8.3
Inactive (0 minutes of moderate activity),Males,2019,7,5.9,8.1
Inactive (0 minutes of moderate activity),Males,2020,6,5,7
Inactive (0 minutes of moderate activity),Males,2021,7.5,6.4,8.5
Inactive (0 minutes of moderate activity),Males,2022,7.5,6.5,8.5
Inactive (0 minutes of moderate activity),Males,2023,6.6,5.7,7.5
Inactive (0 minutes of moderate activity),Females,2002,14.2,13.2,15.2
Inactive (0 minutes of moderate activity),Females,2003,16.6,15.5,17.6
Inactive (0 minutes of moderate activity),Females,2004,14.1,12.9,15.2
Inactive (0 minutes of moderate activity),Females,2005,13.8,12.8,14.7
Inactive (0 minutes of moderate activity),Females,2006,12.6,11.4,13.7
Inactive (0 minutes of moderate activity),Females,2007,13.5,12.1,14.9
Inactive (0 minutes of moderate activity),Females,2008,10.5,9.5,11.5
Inactive (0 minutes of moderate activity),Females,2009,11.4,10.5,12.3
Inactive (0 minutes of moderate activity),Females,2010,11.9,10.9,12.9
Inactive (0 minutes of moderate activity),Females,2011,12.5,11.4,13.7
Inactive (0 minutes of moderate activity),Females,2012,11.6,10.3,13
Inactive (0 minutes of moderate activity),Females,2013,11.5,10.5,12.5
Inactive (0 minutes of moderate activity),Females,2014,11.9,10.7,13
Inactive (0 minutes of moderate activity),Females,2015,10.5,9.2,11.8
Inactive (0 minutes of moderate activity),Females,2016,11.3,10.2,12.4
Inactive (0 minutes of moderate activity),Females,2017,9.8,8.7,10.8
Inactive (0 minutes of moderate activity),Females,2018,8.4,7.4,9.4
Inactive (0 minutes of moderate activity),Females,2019,8.6,7.5,9.8
Inactive (0 minutes of moderate activity),Females,2020,9.1,7.7,10.5
Inactive (0 minutes of moderate activity),Females,2021,8.2,7.1,9.2
Inactive (0 minutes of moderate activity),Females,2022,10.3,9,11.5
Inactive (0 minutes of moderate activity),Females,2023,8.5,7.4,9.6
Inactive (0 minutes of moderate activity),Persons,2002,13.7,13,14.5
Inactive (0 minutes of moderate activity),Persons,2003,15.3,14.5,16.1
Inactive (0 minutes of moderate activity),Persons,2004,12.6,11.7,13.4
