Smoking status,LHD,Period,Per cent,LL 95% CI,UL 95% CI
Smoke daily,Sydney LHD,2002-2003,15.7,13.7,17.7
Smoke daily,Sydney LHD,2003-2004,16.4,14.3,18.6
Smoke daily,Sydney LHD,2004-2005,17,14.7,19.4
Smoke daily,Sydney LHD,2005-2006,13.6,11.3,15.9
Smoke daily,Sydney LHD,2006-2007,12.2,9.8,14.6
Smoke daily,Sydney LHD,2007-2008,12.2,9.8,14.7
Smoke daily,Sydney LHD,2008-2009,14.1,11.6,16.5
Smoke daily,Sydney LHD,2009-2010,13.8,11.2,16.5
Smoke daily,Sydney LHD,2010-2011,11.1,8.6,13.6
Smoke daily,Sydney LHD,2011-2012,10.6,8.6,12.5
Smoke daily,Sydney LHD,2012-2013,10.5,8.8,12.3
Smoke daily,Sydney LHD,2013-2014,10.4,8.6,12.3
Smoke daily,Sydney LHD,2014-2015,9.2,7.4,11.1
Smoke daily,Sydney LHD,2015-2016,9.5,7.6,11.4
Smoke daily,Sydney LHD,2016-2017,9.4,7.5,11.3
Smoke daily,Sydney LHD,2017-2018,8.3,6.4,10.1
Smoke daily,Sydney LHD,2018-2019,8.8,6.8,10.9
Smoke daily,Sydney LHD,2019-2020,7.3,5.2,9.4
Smoke daily,Sydney LHD,2020-2021,5.9,4.2,7.6
Smoke daily,Sydney LHD,2021-2022,5.7,4.5,7
Smoke daily,Sydney LHD,2022-2023,4.5,3.4,5.6
Smoke daily,South Western Sydney LHD,2002-2003,20.7,18.3,23.1
Smoke daily,South Western Sydney LHD,2003-2004,22.7,20,25.3
Smoke daily,South Western Sydney LHD,2004-2005,19.7,17.2,22.3
Smoke daily,South Western Sydney LHD,2005-2006,15.8,13.6,18.1
Smoke daily,South Western Sydney LHD,2006-2007,16.5,14.1,19
Smoke daily,South Western Sydney LHD,2007-2008,20.5,17.8,23.2
Smoke daily,South Western Sydney LHD,2008-2009,17.6,15.2,19.9
Smoke daily,South Western Sydney LHD,2009-2010,15.7,13.5,17.9
Smoke daily,South Western Sydney LHD,2010-2011,15.3,13,17.5
Smoke daily,South Western Sydney LHD,2011-2012,13,10.8,15.2
Smoke daily,South Western Sydney LHD,2012-2013,12.4,10.4,14.4
Smoke daily,South Western Sydney LHD,2013-2014,14.7,12.7,16.8
Smoke daily,South Western Sydney LHD,2014-2015,13.7,11.6,15.8
Smoke daily,South Western Sydney LHD,2015-2016,11.5,9.6,13.5
Smoke daily,South Western Sydney LHD,2016-2017,13.6,11.6,15.7
Smoke daily,South Western Sydney LHD,2017-2018,15.7,13.4,18.1
Smoke daily,South Western Sydney LHD,2018-2019,14.6,12.2,16.9
Smoke daily,South Western Sydney LHD,2019-2020,13.1,10.5,15.7
Smoke daily,South Western Sydney LHD,2020-2021,11.4,9.1,13.7
Smoke daily,South Western Sydney LHD,2021-2022,9.8,8.1,11.5
Smoke daily,South Western Sydney LHD,2022-2023,9.5,7.9,11.2
Smoke daily,South Eastern Sydney LHD,2002-2003,13.8,11.7,15.9
Smoke daily,South Eastern Sydney LHD,2003-2004,13.6,11.3,15.8
Smoke daily,South Eastern Sydney LHD,2004-2005,13.2,11,15.4
Smoke daily,South Eastern Sydney LHD,2005-2006,13.2,11,15.5
Smoke daily,South Eastern Sydney LHD,2006-2007,12.1,9.6,14.5
Smoke daily,South Eastern Sydney LHD,2007-2008,12,9.6,14.4
Smoke daily,South Eastern Sydney LHD,2008-2009,11.8,9.5,14.1
Smoke daily,South Eastern Sydney LHD,2009-2010,10.4,8.3,12.5
Smoke daily,South Eastern Sydney LHD,2010-2011,8.7,6.8,10.6
Smoke daily,South Eastern Sydney LHD,2011-2012,8.2,6.5,9.9
Smoke daily,South Eastern Sydney LHD,2012-2013,8.4,6.5,10.3
Smoke daily,South Eastern Sydney LHD,2013-2014,9.3,7.2,11.3
Smoke daily,South Eastern Sydney LHD,2014-2015,8.1,6.4,9.8
Smoke daily,South Eastern Sydney LHD,2015-2016,7.4,5.8,9
Smoke daily,South Eastern Sydney LHD,2016-2017,8.7,7,10.4
Smoke daily,South Eastern Sydney LHD,2017-2018,8.5,6.8,10.3
Smoke daily,South Eastern Sydney LHD,2018-2019,9.2,7.2,11.1
Smoke daily,South Eastern Sydney LHD,2019-2020,8.9,6.9,11
Smoke daily,South Eastern Sydney LHD,2020-2021,6.2,4.6,7.9
Smoke daily,South Eastern Sydney LHD,2021-2022,5.1,3.8,6.4
Smoke daily,South Eastern Sydney LHD,2022-2023,5.7,4.4,7.1
Smoke daily,Illawarra Shoalhaven LHD,2002-2003,20,17.6,22.3
Smoke daily,Illawarra Shoalhaven LHD,2003-2004,20.6,18,23.2
Smoke daily,Illawarra Shoalhaven LHD,2004-2005,19,16.1,22
Smoke daily,Illawarra Shoalhaven LHD,2005-2006,17.5,14.1,20.9
Smoke daily,Illawarra Shoalhaven LHD,2006-2007,16.9,13.2,20.6
Smoke daily,Illawarra Shoalhaven LHD,2007-2008,14.9,11.9,17.9
Smoke daily,Illawarra Shoalhaven LHD,2008-2009,12.8,10.3,15.3
Smoke daily,Illawarra Shoalhaven LHD,2009-2010,12.6,9.9,15.3
Smoke daily,Illawarra Shoalhaven LHD,2010-2011,12.2,9.6,14.8
Smoke daily,Illawarra Shoalhaven LHD,2011-2012,13,10.6,15.3
Smoke daily,Illawarra Shoalhaven LHD,2012-2013,14.3,11.7,17
Smoke daily,Illawarra Shoalhaven LHD,2013-2014,14.7,11.6,17.7
Smoke daily,Illawarra Shoalhaven LHD,2014-2015,14.9,11.6,18.3
Smoke daily,Illawarra Shoalhaven LHD,2015-2016,12.9,9.9,15.8
Smoke daily,Illawarra Shoalhaven LHD,2016-2017,9.6,7.2,12
Smoke daily,Illawarra Shoalhaven LHD,2017-2018,8,5.5,10.6
Smoke daily,Illawarra Shoalhaven LHD,2018-2019,10.9,7.8,14
Smoke daily,Illawarra Shoalhaven LHD,2019-2020,14.8,10.4,19.2
Smoke daily,Illawarra Shoalhaven LHD,2020-2021,12.2,8.2,16.2
Smoke daily,Illawarra Shoalhaven LHD,2021-2022,9,7,11.1
Smoke daily,Illawarra Shoalhaven LHD,2022-2023,8.1,6.4,9.9
Smoke daily,Western Sydney LHD,2002-2003,18.5,16.2,20.9
Smoke daily,Western Sydney LHD,2003-2004,17.9,15.5,20.3
Smoke daily,Western Sydney LHD,2004-2005,18.3,16,20.7
Smoke daily,Western Sydney LHD,2005-2006,18.2,15.9,20.5
Smoke daily,Western Sydney LHD,2006-2007,16.8,14.2,19.3
Smoke daily,Western Sydney LHD,2007-2008,14.7,12.3,17.1
Smoke daily,Western Sydney LHD,2008-2009,14.8,12.5,17
Smoke daily,Western Sydney LHD,2009-2010,13.5,11.5,15.6
Smoke daily,Western Sydney LHD,2010-2011,10.5,8.5,12.4
Smoke daily,Western Sydney LHD,2011-2012,11.8,8.1,15.5
Smoke daily,Western Sydney LHD,2012-2013,13,9.5,16.6
Smoke daily,Western Sydney LHD,2013-2014,11,9.3,12.7
Smoke daily,Western Sydney LHD,2014-2015,9,7.2,10.7
Smoke daily,Western Sydney LHD,2015-2016,9.1,7.3,11
Smoke daily,Western Sydney LHD,2016-2017,10.2,8.3,12
Smoke daily,Western Sydney LHD,2017-2018,9,7.4,10.7
Smoke daily,Western Sydney LHD,2018-2019,10.7,8.6,12.9
Smoke daily,Western Sydney LHD,2019-2020,9.4,7.4,11.4
Smoke daily,Western Sydney LHD,2020-2021,6.7,5.3,8.2
Smoke daily,Western Sydney LHD,2021-2022,7.9,6.4,9.4
Smoke daily,Western Sydney LHD,2022-2023,9.1,7.3,10.9
Smoke daily,Nepean Blue Mountains LHD,2002-2003,20.2,17.9,22.5
Smoke daily,Nepean Blue Mountains LHD,2003-2004,18.9,16.4,21.3
Smoke daily,Nepean Blue Mountains LHD,2004-2005,20.2,17.3,23.1
Smoke daily,Nepean Blue Mountains LHD,2005-2006,19.3,15.8,22.8
Smoke daily,Nepean Blue Mountains LHD,2006-2007,19.4,15.4,23.3
Smoke daily,Nepean Blue Mountains LHD,2007-2008,18.1,14.4,21.9
Smoke daily,Nepean Blue Mountains LHD,2008-2009,14.7,11.6,17.8
Smoke daily,Nepean Blue Mountains LHD,2009-2010,15,11.6,18.5
Smoke daily,Nepean Blue Mountains LHD,2010-2011,14.5,11.2,17.8
Smoke daily,Nepean Blue Mountains LHD,2011-2012,14.8,12.3,17.3
Smoke daily,Nepean Blue Mountains LHD,2012-2013,14.2,11.6,16.9
Smoke daily,Nepean Blue Mountains LHD,2013-2014,12.1,9.4,14.9
Smoke daily,Nepean Blue Mountains LHD,2014-2015,10.5,7.9,13.1
Smoke daily,Nepean Blue Mountains LHD,2015-2016,11.9,9.2,14.7
Smoke daily,Nepean Blue Mountains LHD,2016-2017,13.1,10.3,15.9
Smoke daily,Nepean Blue Mountains LHD,2017-2018,10.9,8.5,13.4
Smoke daily,Nepean Blue Mountains LHD,2018-2019,11.6,8.4,14.7
Smoke daily,Nepean Blue Mountains LHD,2019-2020,11.9,8.5,15.2
Smoke daily,Nepean Blue Mountains LHD,2020-2021,11.7,8.8,14.6
Smoke daily,Nepean Blue Mountains LHD,2021-2022,10.1,7.7,12.5
Smoke daily,Nepean Blue Mountains LHD,2022-2023,9.6,7.5,11.7
Smoke daily,Northern Sydney LHD,2002-2003,12.5,10.4,14.5
Smoke daily,Northern Sydney LHD,2003-2004,12.7,10.4,14.9
Smoke daily,Northern Sydney LHD,2004-2005,10.6,8.5,12.7
Smoke daily,Northern Sydney LHD,2005-2006,9.4,7.6,11.3
Smoke daily,Northern Sydney LHD,2006-2007,8.7,6.7,10.7
Smoke daily,Northern Sydney LHD,2007-2008,7.5,5.7,9.3
Smoke daily,Northern Sydney LHD,2008-2009,8.4,6.6,10.1
